account_id,account_description,account_fax,account_name,account_number,account_phone,account_rating,account_type,active,annual_revenue,billing_address,billing_city,billing_country,billing_state,billing_street,billing_zip,clean_status,created_date,customer_priority,deleted,employees,industry,number_of_locations,parent_account_id,upsell_opportunity
0015h000013m9LQAAY,,(785) 241-6201,Dickenson plc,CC634267,(785) 241-6200,Warm,Customer - Channel,Yes,50000,"[country:USA, city:Lawrence, countryCode:null, street:1301 Hoch Drive, latitude:null, postalCode:66045, geocodeAccuracy:null, stateCode:null, state:KS, longitude:null]",Lawrence,USA,KS,1301 Hoch Drive,66045,Pending,11/04/2022T02:42:50.000Z,Low,false,120,Consulting,2,,No
0015h000013m9LUAAY,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",(520) 773-9060,University of Arizona,CD736025,(520) 773-9050,Warm,Customer - Direct,Yes,10000,"[country:USA, city:Tucson, countryCode:null, street:888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:AZ, longitude:null]",Tucson,USA,AZ,"888 N Euclid Hallis Center, Room 501 Tucson, AZ 85721",85721,Pending,11/04/2022T02:42:50.000Z,Medium,false,39000,Education,3,,Yes
0015h000013m9LRAAY,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",(312) 596-1500,Grand Hotels & Resorts Ltd,CD439877,(312) 596-1000,Warm,Customer - Direct,Yes,500000,"[country:United States, city:Chicago, countryCode:null, street:2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:IL, longitude:null]",Chicago,United States,IL,"N. Michigan Avenue, Suite Chicago, IL 60601",60601,Pending,11/04/2022T02:42:50.000Z,High,false,5600,Hospitality,57,,Yes
0015h000013m9LNAAY,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",(512) 757-9000,Edge Communications,CD451796,(512) 757-6000,Hot,Customer - Direct,Yes,13900000,"[country:United States, city:Austin, countryCode:null, street:312 Constitution Place
Austin, TX 78767
USA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:TX, longitude:null]",Austin,United States,TX,"312 Constitution Place Austin, TX, USA 78767",78767,Pending,11/04/2022T02:42:50.000Z,Medium,false,1000,Electronics,2,,Maybe
0015h000016sA0tAAE,"Leading builders of high quality homes , based out of Florida",,Lenarr,CO35629672,,Warm,Installation Partner,Yes,22500000,"[country:US, city:Miami, countryCode:null, street:Miami, FL, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Miami,US,FL,"Miami, FL, 78908",78908,Pending,11/20/2022T20:52:33.000Z,High,false,9100,Construction,7,,Yes
0015h000016qfFzAAI,,,Sync finances,,18582144125,Warm,Prospect,Yes,456000,"[country:US, city:Long beach, countryCode:null, street:198, park street,Long beach ,California, latitude:null, postalCode:92092, geocodeAccuracy:null, stateCode:null, state:California, longitude:null]",Long beach,US,California,"198, park street,Long beach ,California, 92092 ",92092,Pending,11/20/2022T03:37:14.000Z,Low,false,3080,Banking,6,,Yes
0015h000016sA9LAAU,,,Veritas,KH6302873,4802144826,Warm,Customer - Channel,Yes,1150000,"[country:US, city:Encinitas, countryCode:null, street:Encinitas,CA, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:CA, longitude:null]",Encinitas,US,CA,"Encinitas, CA, 78934",78934,Pending,11/20/2022T21:13:52.000Z,Medium,false,15000,Apparel,2,,Maybe
0015h000013m9LOAAY,,(336) 222-8000,Burlington Textiles Corp of America,CD656092,(336) 222-7000,Warm,Customer - Direct,Yes,3500000,"[country:USA, city:Burlington, countryCode:null, street:525 S. Lexington Ave, latitude:null, postalCode:27215, geocodeAccuracy:null, stateCode:null, state:NC, longitude:null]",Burlington,USA,NC,"525 S. Lexington Ave, 27215",27215,Pending,11/04/2022T02:42:50.000Z,Medium,false,9000,Apparel,6,,Maybe
0015h000016qpDDAAY,"Packaging business, headquartered in London ,Uk.",,DS Smith,,,Hot,Customer - Direct,Yes,7200000,"[country:UK, city:London, countryCode:null, street:370, Endina  street,London ,UK, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:London, longitude:null]",London,UK,London,"Endina  street,London ,UK, 10002",10002,Pending,11/20/2022T06:43:07.000Z,Low,false,30000,Food & Beverage,8,,Maybe
0015h000016sA7aAAE,,,Vector farms,AG73039374,,Hot,Prospect,Yes,440000,"[country:US, city:Miami, countryCode:null, street:Miami , FL, latitude:null, postalCode:null, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]",Miami,US,FL,"Miami , FL, 85721",85721,Pending,11/20/2022T21:02:59.000Z,Low,false,2700,Agriculture,5,,Maybe
